Order ID,Record Date,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,City,State,Postal Code,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit
EJ-08146,2024-02-22 11:58:28,2023-05-04,2023-05-06,Standard,EJ-13720,Ed Jacobs,Consumer,United States,Philadelphia,Pennsylvania,19143,East,OFF-ST-10000615,Office Supplies,Storage,"SimpliFile Personal File, Black Granite, 15w x 6-15/16d x 11-1/4h",258.14,1,0.17,7.47
EJ-08146,2024-02-22 11:58:28,2023-05-04,2023-05-06,Standard,EJ-13720,Ed Jacobs,Consumer,United States,Philadelphia,Pennsylvania,19143,East,TEC-AC-10002857,Technology,Accessories,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 1/Pack",332.76,3,0.08,3.1
EJ-08146,2024-02-22 11:58:28,2023-05-04,2023-05-06,Standard,EJ-13720,Ed Jacobs,Consumer,United States,Philadelphia,Pennsylvania,19143,East,FUR-FU-10001731,Furniture,Furnishings,Acrylic Self-Standing Desk Frames,440.13,5,0.14,-5.11
KD-00311,2024-02-22 11:58:28,2023-10-30,2023-11-01,Standard,KD-16495,Keith Dawkins,Corporate,United States,Fayetteville,North Carolina,28314,South,OFF-EN-10001990,Office Supplies,Envelopes,Staple envelope,267.05,8,0.2,-14.64
KD-00311,2024-02-22 11:58:28,2023-10-30,2023-11-01,Standard,KD-16495,Keith Dawkins,Corporate,United States,Fayetteville,North Carolina,28314,South,OFF-LA-10003223,Office Supplies,Labels,Avery 508,358.57,5,0.08,-7.02
RD-16499,2024-02-22 11:58:28,2022-12-23,2022-12-31,Express,RD-19660,Robert Dilbeck,Home Office,United States,Saint Peters,Missouri,63376,Central,OFF-FA-10000490,Office Supplies,Fasteners,"OIC Binder Clips, Mini, 1/4"" Capacity, Black",474.73,9,0.01,11.71
RD-16499,2024-02-22 11:58:28,2022-12-23,2022-12-31,Express,RD-19660,Robert Dilbeck,Home Office,United States,Saint Peters,Missouri,63376,Central,TEC-PH-10000213,Technology,Phones,Seidio BD2-HK3IPH5-BK DILEX Case and Holster Combo for Apple iPhone 5/5s - Black,297.39,6,0.18,15.03
RD-16499,2024-02-22 11:58:28,2022-12-23,2022-12-31,Express,RD-19660,Robert Dilbeck,Home Office,United States,Saint Peters,Missouri,63376,Central,OFF-BI-10002794,Office Supplies,Binders,"Avery Trapezoid Ring Binder, 3"" Capacity, Black, 1040 sheets",460.67,1,0.12,19.79
RD-16499,2024-02-22 11:58:28,2022-12-23,2022-12-31,Express,RD-19660,Robert Dilbeck,Home Office,United States,Saint Peters,Missouri,63376,Central,OFF-FA-10000621,Office Supplies,Fasteners,"OIC Colored Binder Clips, Assorted Sizes",404.31,1,0.15,4.48
RD-16499,2024-02-22 11:58:28,2022-12-23,2022-12-31,Express,RD-19660,Robert Dilbeck,Home Office,United States,Saint Peters,Missouri,63376,Central,TEC-PH-10001760,Technology,Phones,Bose SoundLink Bluetooth Speaker,332.44,10,0.19,12.98
GH-60375,2024-02-22 11:58:28,2024-02-11,2024-02-21,Standard,GH-14410,Gary Hansen,Home Office,United States,Glendale,Arizona,85301,West,FUR-CH-10000553,Furniture,Chairs,"Metal Folding Chairs, Beige, 4/Carton",225.41,5,0.09,1.41
GH-60375,2024-02-22 11:58:28,2024-02-11,2024-02-21,Standard,GH-14410,Gary Hansen,Home Office,United States,Glendale,Arizona,85301,West,OFF-PA-10002246,Office Supplies,Paper,"Wirebound Four 2-3/4 x 5 Forms per Page, 400 Sets per Book",239.45,8,0.11,10.53
GH-60375,2024-02-22 11:58:28,2024-02-11,2024-02-21,Standard,GH-14410,Gary Hansen,Home Office,United States,Glendale,Arizona,85301,West,OFF-PA-10001609,Office Supplies,Paper,Tops Wirebound Message Log Books,438.75,1,0.14,0.02
GH-60375,2024-02-22 11:58:28,2024-02-11,2024-02-21,Standard,GH-14410,Gary Hansen,Home Office,United States,Glendale,Arizona,85301,West,OFF-AR-10001953,Office Supplies,Art,Boston 1645 Deluxe Heavier-Duty Electric Pencil Sharpener,419.64,8,0.03,-18.24
GH-60375,2024-02-22 11:58:28,2024-02-11,2024-02-21,Standard,GH-14410,Gary Hansen,Home Office,United States,Glendale,Arizona,85301,West,TEC-MA-10003176,Technology,Machines,Okidata B400 Printer,386.59,2,0.17,-19.06
DB-30457,2024-02-22 11:58:28,2023-03-08,2023-03-09,Express,DB-13660,Duane Benoit,Consumer,United States,Dallas,Texas,75081,Central,OFF-PA-10001878,Office Supplies,Paper,Xerox 1891,225.28,6,0.09,-6.8
DB-30457,2024-02-22 11:58:28,2023-03-08,2023-03-09,Express,DB-13660,Duane Benoit,Consumer,United States,Dallas,Texas,75081,Central,OFF-ST-10001558,Office Supplies,Storage,Acco Perma 4000 Stacking Storage Drawers,379.31,10,0.2,4.46
DB-30457,2024-02-22 11:58:28,2023-03-08,2023-03-09,Express,DB-13660,Duane Benoit,Consumer,United States,Dallas,Texas,75081,Central,OFF-BI-10003274,Office Supplies,Binders,"Avery Durable Slant Ring Binders, No Labels",309.22,5,0.06,-9.27
MY-55874,2024-02-22 11:58:28,2023-05-12,2023-05-13,Standard,MY-18295,Muhammed Yedwab,Corporate,United States,Grapevine,Texas,76051,Central,FUR-CH-10003061,Furniture,Chairs,"Global Leather Task Chair, Black",469.79,4,0.04,-14.98
MY-55874,2024-02-22 11:58:28,2023-05-12,2023-05-13,Standard,MY-18295,Muhammed Yedwab,Corporate,United States,Grapevine,Texas,76051,Central,TEC-PH-10000038,Technology,Phones,Jawbone MINI JAMBOX Wireless Bluetooth Speaker,379.48,4,0.11,-1.81
MY-55874,2024-02-22 11:58:28,2023-05-12,2023-05-13,Standard,MY-18295,Muhammed Yedwab,Corporate,United States,Grapevine,Texas,76051,Central,OFF-LA-10001297,Office Supplies,Labels,Avery 473,300.28,7,0.1,-18.27
MY-55874,2024-02-22 11:58:28,2023-05-12,2023-05-13,Standard,MY-18295,Muhammed Yedwab,Corporate,United States,Grapevine,Texas,76051,Central,OFF-EN-10002500,Office Supplies,Envelopes,Globe Weis Peel & Seel First Class Envelopes,262.59,1,0.05,-8.28
MY-55874,2024-02-22 11:58:28,2023-05-12,2023-05-13,Standard,MY-18295,Muhammed Yedwab,Corporate,United States,Grapevine,Texas,76051,Central,FUR-FU-10004306,Furniture,Furnishings,Electrix Halogen Magnifier Lamp,454.39,1,0.15,14.53
TH-26228,2024-02-22 11:58:28,2022-07-26,2022-07-27,Standard,TH-21100,Thea Hendricks,Consumer,United States,San Diego,California,92037,West,OFF-PA-10000304,Office Supplies,Paper,Xerox 1995,491.85,3,0.04,-14.05
TH-26228,2024-02-22 11:58:28,2022-07-26,2022-07-27,Standard,TH-21100,Thea Hendricks,Consumer,United States,San Diego,California,92037,West,FUR-TA-10002356,Furniture,Tables,Bevis Boat-Shaped Conference Table,467.25,8,0.08,10.44
PF-72759,2024-02-22 11:58:28,2023-12-05,2023-12-10,Express,PF-19120,Peter Fuller,Consumer,United States,New York City,New York,10035,East,OFF-PA-10001752,Office Supplies,Paper,Hammermill CopyPlus Copy Paper (20Lb. and 84 Bright),406.68,1,0.13,6.36
AS-05627,2024-02-22 11:58:28,2023-10-08,2023-10-16,Express,AS-10045,Aaron Smayling,Corporate,United States,Austin,Texas,78745,Central,FUR-CH-10001270,Furniture,Chairs,Harbour Creations Steel Folding Chair,300.73,9,0.11,-12.83
LS-53958,2024-02-22 11:58:28,2023-04-03,2023-04-10,Standard,LS-16975,Lindsay Shagiari,Home Office,United States,Los Angeles,California,90004,West,OFF-AR-10001915,Office Supplies,Art,Peel-Off China Markers,374.46,5,0.15,19.59
LS-53958,2024-02-22 11:58:28,2023-04-03,2023-04-10,Standard,LS-16975,Lindsay Shagiari,Home Office,United States,Los Angeles,California,90004,West,OFF-BI-10000962,Office Supplies,Binders,"Acco Flexible ACCOHIDE Square Ring Data Binder, Dark Blue, 11 1/2"" X 14"" 7/8""",234.05,2,0.18,-19.17
DN-66862,2024-02-22 11:58:28,2022-09-18,2022-09-22,Standard,DN-13690,Duane Noonan,Consumer,United States,San Francisco,California,94122,West,FUR-BO-10001601,Furniture,Bookcases,"Sauder Mission Library with Doors, Fruitwood Finish",472.65,8,0.03,10.73
DN-66862,2024-02-22 11:58:28,2022-09-18,2022-09-22,Standard,DN-13690,Duane Noonan,Consumer,United States,San Francisco,California,94122,West,OFF-BI-10004364,Office Supplies,Binders,Storex Dura Pro Binders,326.63,8,0.06,-5.99
DN-66862,2024-02-22 11:58:28,2022-09-18,2022-09-22,Standard,DN-13690,Duane Noonan,Consumer,United States,San Francisco,California,94122,West,OFF-BI-10004970,Office Supplies,Binders,"ACCOHIDE 3-Ring Binder, Blue, 1""",260.29,4,0.0,-10.68
DN-66862,2024-02-22 11:58:28,2022-09-18,2022-09-22,Standard,DN-13690,Duane Noonan,Consumer,United States,San Francisco,California,94122,West,FUR-FU-10000308,Furniture,Furnishings,Deflect-o Glass Clear Studded Chair Mats,351.4,1,0.06,-0.72
DN-66862,2024-02-22 11:58:28,2022-09-18,2022-09-22,Standard,DN-13690,Duane Noonan,Consumer,United States,San Francisco,California,94122,West,FUR-FU-10003724,Furniture,Furnishings,Westinghouse Clip-On Gooseneck Lamps,339.45,9,0.17,-12.07
TB-69082,2024-02-22 11:58:28,2024-01-13,2024-01-18,Express,TB-21250,Tim Brockman,Consumer,United States,Salem,Oregon,97301,West,OFF-ST-10000918,Office Supplies,Storage,Crate-A-Files,219.55,7,0.05,0.49
TB-69082,2024-02-22 11:58:28,2024-01-13,2024-01-18,Express,TB-21250,Tim Brockman,Consumer,United States,Salem,Oregon,97301,West,OFF-AR-10003732,Office Supplies,Art,Newell 333,342.48,10,0.05,-8.73
TB-69082,2024-02-22 11:58:28,2024-01-13,2024-01-18,Express,TB-21250,Tim Brockman,Consumer,United States,Salem,Oregon,97301,West,TEC-PH-10003092,Technology,Phones,Motorola L804,494.46,2,0.03,9.25
TB-69082,2024-02-22 11:58:28,2024-01-13,2024-01-18,Express,TB-21250,Tim Brockman,Consumer,United States,Salem,Oregon,97301,West,OFF-ST-10002344,Office Supplies,Storage,"Carina 42""Hx23 3/4""W Media Storage Unit",237.0,2,0.07,2.56
TB-69082,2024-02-22 11:58:28,2024-01-13,2024-01-18,Express,TB-21250,Tim Brockman,Consumer,United States,Salem,Oregon,97301,West,OFF-BI-10001658,Office Supplies,Binders,GBC Standard Therm-A-Bind Covers,294.99,9,0.18,-18.45
JM-95261,2024-02-22 11:58:28,2022-10-06,2022-10-10,Express,JM-15655,Jim Mitchum,Corporate,United States,Glendale,Arizona,85301,West,OFF-EN-10002504,Office Supplies,Envelopes,"Tyvek  Top-Opening Peel & Seel Envelopes, Plain White",375.8,9,0.19,-10.19
JM-95261,2024-02-22 11:58:28,2022-10-06,2022-10-10,Express,JM-15655,Jim Mitchum,Corporate,United States,Glendale,Arizona,85301,West,OFF-AP-10001293,Office Supplies,Appliances,Belkin 8 Outlet Surge Protector,336.11,2,0.01,8.62
JP-40404,2024-02-22 11:58:28,2022-04-06,2022-04-14,Express,JP-16135,Julie Prescott,Home Office,United States,Columbus,Georgia,31907,South,OFF-SU-10002881,Office Supplies,Supplies,Martin Yale Chadless Opener Electric Letter Opener,323.03,3,0.16,11.6
JP-40404,2024-02-22 11:58:28,2022-04-06,2022-04-14,Express,JP-16135,Julie Prescott,Home Office,United States,Columbus,Georgia,31907,South,OFF-AR-10000411,Office Supplies,Art,Boston 16701 Slimline Battery Pencil Sharpener,257.22,10,0.03,9.44
JP-40404,2024-02-22 11:58:28,2022-04-06,2022-04-14,Express,JP-16135,Julie Prescott,Home Office,United States,Columbus,Georgia,31907,South,OFF-BI-10003291,Office Supplies,Binders,Wilson Jones Leather-Like Binders with DublLock Round Rings,301.04,8,0.14,-12.03
EB-01852,2024-02-22 11:58:28,2022-08-28,2022-08-29,Express,EB-13840,Ellis Ballard,Corporate,United States,Richmond,Virginia,23223,South,OFF-BI-10000315,Office Supplies,Binders,Poly Designer Cover & Back,280.96,8,0.19,-14.69
EB-01852,2024-02-22 11:58:28,2022-08-28,2022-08-29,Express,EB-13840,Ellis Ballard,Corporate,United States,Richmond,Virginia,23223,South,OFF-AR-10001958,Office Supplies,Art,Stanley Bostitch Contemporary Electric Pencil Sharpeners,261.3,3,0.01,-12.73
EB-01852,2024-02-22 11:58:28,2022-08-28,2022-08-29,Express,EB-13840,Ellis Ballard,Corporate,United States,Richmond,Virginia,23223,South,TEC-AC-10004227,Technology,Accessories,SanDisk Ultra 16 GB MicroSDHC Class 10 Memory Card,302.56,9,0.01,-11.79
EB-01852,2024-02-22 11:58:28,2022-08-28,2022-08-29,Express,EB-13840,Ellis Ballard,Corporate,United States,Richmond,Virginia,23223,South,FUR-CH-10003833,Furniture,Chairs,Novimex Fabric Task Chair,436.83,4,0.18,-0.91
BS-88536,2024-02-22 11:58:28,2022-11-22,2022-11-26,Standard,BS-11755,Bruce Stewart,Consumer,United States,San Francisco,California,94122,West,OFF-LA-10004484,Office Supplies,Labels,Avery 476,338.21,3,0.18,-12.28
KM-70518,2024-02-22 11:58:29,2023-04-24,2023-05-04,Standard,KM-16375,Katherine Murray,Home Office,United States,Arlington,Virginia,22204,South,FUR-CH-10002372,Furniture,Chairs,Office Star - Ergonomically Designed Knee Chair,414.88,7,0.01,-13.15
AR-14979,2024-02-22 11:58:29,2023-01-01,2023-01-06,Express,AR-10510,Andrew Roberts,Consumer,United States,Philadelphia,Pennsylvania,19134,East,OFF-BI-10003650,Office Supplies,Binders,GBC DocuBind 300 Electric Binding Machine,472.71,10,0.01,0.55
AR-14979,2024-02-22 11:58:29,2023-01-01,2023-01-06,Express,AR-10510,Andrew Roberts,Consumer,United States,Philadelphia,Pennsylvania,19134,East,FUR-FU-10002671,Furniture,Furnishings,Electrix 20W Halogen Replacement Bulb for Zoom-In Desk Lamp,356.66,5,0.2,-17.23
TN-41011,2024-02-22 11:58:29,2022-07-19,2022-07-25,Standard,TN-21040,Tanja Norvell,Home Office,United States,New York City,New York,10009,East,FUR-FU-10000629,Furniture,Furnishings,9-3/4 Diameter Round Wall Clock,366.82,7,0.02,10.32
TN-41011,2024-02-22 11:58:29,2022-07-19,2022-07-25,Standard,TN-21040,Tanja Norvell,Home Office,United States,New York City,New York,10009,East,TEC-PH-10002496,Technology,Phones,Cisco SPA301,496.13,2,0.07,-2.14
SO-67373,2024-02-22 11:58:29,2023-07-03,2023-07-08,Express,SO-20335,Sean O'Donnell,Consumer,United States,Fort Lauderdale,Florida,33311,South,OFF-AP-10001242,Office Supplies,Appliances,APC 7 Outlet Network SurgeArrest Surge Protector,248.6,3,0.09,-4.37
AS-40438,2024-02-22 11:58:29,2022-09-10,2022-09-14,Standard,AS-10285,Alejandro Savely,Corporate,United States,Philadelphia,Pennsylvania,19134,East,FUR-FU-10002253,Furniture,Furnishings,"Howard Miller 13"" Diameter Pewter Finish Round Wall Clock",397.27,3,0.09,16.55
AS-40438,2024-02-22 11:58:29,2022-09-10,2022-09-14,Standard,AS-10285,Alejandro Savely,Corporate,United States,Philadelphia,Pennsylvania,19134,East,OFF-PA-10002581,Office Supplies,Paper,Xerox 1951,353.04,2,0.1,10.32
AS-40438,2024-02-22 11:58:29,2022-09-10,2022-09-14,Standard,AS-10285,Alejandro Savely,Corporate,United States,Philadelphia,Pennsylvania,19134,East,FUR-TA-10003954,Furniture,Tables,Hon 94000 Series Round Tables,388.72,8,0.07,11.5
C-30947,2024-02-22 11:58:29,2022-07-29,2022-08-04,Express,Co-12640,Corey-Lock,Consumer,United States,Seattle,Washington,98105,West,OFF-AP-10004052,Office Supplies,Appliances,"Hoover Replacement Belts For Soft Guard & Commercial Ltweight Upright Vacs, 2/Pk",343.62,8,0.0,6.14
C-30947,2024-02-22 11:58:29,2022-07-29,2022-08-04,Express,Co-12640,Corey-Lock,Consumer,United States,Seattle,Washington,98105,West,OFF-BI-10000320,Office Supplies,Binders,GBC Plastic Binding Combs,346.02,10,0.14,-15.08
BN-55919,2024-02-22 11:58:29,2022-08-20,2022-08-25,Express,BN-11515,Bradley Nguyen,Consumer,United States,New York City,New York,10011,East,OFF-AP-10002906,Office Supplies,Appliances,Hoover Replacement Belt for Commercial Guardsman Heavy-Duty Upright Vacuum,311.76,6,0.17,-12.77
BN-55919,2024-02-22 11:58:29,2022-08-20,2022-08-25,Express,BN-11515,Bradley Nguyen,Consumer,United States,New York City,New York,10011,East,FUR-FU-10003623,Furniture,Furnishings,"DataProducts Ampli Magnifier Task Lamp, Black,",276.12,5,0.11,-13.2
BN-55919,2024-02-22 11:58:29,2022-08-20,2022-08-25,Express,BN-11515,Bradley Nguyen,Consumer,United States,New York City,New York,10011,East,OFF-BI-10000145,Office Supplies,Binders,Zipper Ring Binder Pockets,201.74,1,0.06,-15.34
AJ-68494,2024-02-22 11:58:29,2022-11-25,2022-11-29,Standard,AJ-10780,Anthony Jacobs,Corporate,United States,Beverly,Massachusetts,1915,East,OFF-PA-10003845,Office Supplies,Paper,Xerox 1987,435.67,9,0.07,-6.97
AJ-68494,2024-02-22 11:58:29,2022-11-25,2022-11-29,Standard,AJ-10780,Anthony Jacobs,Corporate,United States,Beverly,Massachusetts,1915,East,OFF-BI-10000174,Office Supplies,Binders,"Wilson Jones Clip & Carry Folder Binder Tool for Ring Binders, Clear",279.97,6,0.14,-17.12
AJ-68494,2024-02-22 11:58:29,2022-11-25,2022-11-29,Standard,AJ-10780,Anthony Jacobs,Corporate,United States,Beverly,Massachusetts,1915,East,OFF-ST-10001526,Office Supplies,Storage,Iceberg Mobile Mega Data/Printer Cart ,294.12,9,0.09,16.26
AJ-68494,2024-02-22 11:58:29,2022-11-25,2022-11-29,Standard,AJ-10780,Anthony Jacobs,Corporate,United States,Beverly,Massachusetts,1915,East,FUR-FU-10000723,Furniture,Furnishings,"Deflect-o EconoMat Studded, No Bevel Mat for Low Pile Carpeting",288.62,1,0.04,-12.4
AJ-68494,2024-02-22 11:58:29,2022-11-25,2022-11-29,Standard,AJ-10780,Anthony Jacobs,Corporate,United States,Beverly,Massachusetts,1915,East,TEC-PH-10000912,Technology,Phones,Anker 24W Portable Micro USB Car Charger,309.2,8,0.01,0.38
NW-04563,2024-02-22 11:58:29,2023-10-11,2023-10-16,Standard,NW-18400,Natalie Webber,Consumer,United States,Tigard,Oregon,97224,West,OFF-FA-10002780,Office Supplies,Fasteners,Staples,453.14,6,0.19,-2.09
JL-51696,2024-02-22 11:58:29,2022-05-29,2022-06-06,Standard,JL-15505,Jeremy Lonsdale,Consumer,United States,Houston,Texas,77070,Central,OFF-LA-10001297,Office Supplies,Labels,Avery 473,243.47,10,0.19,-11.45
JL-51696,2024-02-22 11:58:29,2022-05-29,2022-06-06,Standard,JL-15505,Jeremy Lonsdale,Consumer,United States,Houston,Texas,77070,Central,OFF-BI-10000474,Office Supplies,Binders,Avery Recycled Flexi-View Covers for Binding Systems,350.44,10,0.12,5.13
EB-69435,2024-02-22 11:58:29,2023-09-12,2023-09-21,Standard,EB-13930,Eric Barreto,Consumer,United States,San Francisco,California,94110,West,FUR-CH-10002602,Furniture,Chairs,DMI Arturo Collection Mission-style Design Wood Chair,420.15,7,0.15,-19.29
EB-69435,2024-02-22 11:58:29,2023-09-12,2023-09-21,Standard,EB-13930,Eric Barreto,Consumer,United States,San Francisco,California,94110,West,OFF-BI-10001757,Office Supplies,Binders,Pressboard Hanging Data Binders for Unburst Sheets,393.15,7,0.03,5.08
EB-69435,2024-02-22 11:58:29,2023-09-12,2023-09-21,Standard,EB-13930,Eric Barreto,Consumer,United States,San Francisco,California,94110,West,OFF-ST-10001128,Office Supplies,Storage,"Carina Mini System Audio Rack, Model AR050B",488.35,4,0.01,-12.3
EB-69435,2024-02-22 11:58:29,2023-09-12,2023-09-21,Standard,EB-13930,Eric Barreto,Consumer,United States,San Francisco,California,94110,West,OFF-SU-10004737,Office Supplies,Supplies,Acme Design Stainless Steel Bent Scissors,383.17,10,0.09,-0.65
NM-14055,2024-02-22 11:58:29,2023-04-25,2023-05-05,Express,NM-18520,Neoma Murray,Consumer,United States,Seattle,Washington,98105,West,FUR-CH-10003312,Furniture,Chairs,Hon 2090 �Pillow Soft� Series Mid Back Swivel/Tilt Chairs,314.43,10,0.11,-14.52
HR-05219,2024-02-22 11:58:29,2024-02-16,2024-02-21,Express,HR-14830,Harold Ryan,Corporate,United States,Miami,Florida,33178,South,TEC-AC-10004145,Technology,Accessories,Logitech diNovo Edge Keyboard,398.7,7,0.18,17.86
HR-05219,2024-02-22 11:58:29,2024-02-16,2024-02-21,Express,HR-14830,Harold Ryan,Corporate,United States,Miami,Florida,33178,South,TEC-AC-10003709,Technology,Accessories,Maxell 4.7GB DVD-R 5/Pack,265.23,2,0.03,15.45
NS-83919,2024-02-22 11:58:29,2023-10-08,2023-10-16,Standard,NS-18640,Noel Staavos,Corporate,United States,Chicago,Illinois,60610,Central,OFF-ST-10000025,Office Supplies,Storage,Fellowes Stor/Drawer Steel Plus Storage Drawers,441.5,4,0.2,12.95
NS-83919,2024-02-22 11:58:29,2023-10-08,2023-10-16,Standard,NS-18640,Noel Staavos,Corporate,United States,Chicago,Illinois,60610,Central,TEC-PH-10003095,Technology,Phones,Samsung HM1900 Bluetooth Headset,363.77,7,0.0,0.93
NS-83919,2024-02-22 11:58:29,2023-10-08,2023-10-16,Standard,NS-18640,Noel Staavos,Corporate,United States,Chicago,Illinois,60610,Central,OFF-PA-10000100,Office Supplies,Paper,Xerox 1945,205.74,9,0.04,-6.37
NS-83919,2024-02-22 11:58:29,2023-10-08,2023-10-16,Standard,NS-18640,Noel Staavos,Corporate,United States,Chicago,Illinois,60610,Central,OFF-BI-10001036,Office Supplies,Binders,Cardinal EasyOpen D-Ring Binders,473.88,3,0.11,-0.49
NS-83919,2024-02-22 11:58:29,2023-10-08,2023-10-16,Standard,NS-18640,Noel Staavos,Corporate,United States,Chicago,Illinois,60610,Central,OFF-BI-10004465,Office Supplies,Binders,Avery Durable Slant Ring Binders,362.4,6,0.06,5.51
AP-02838,2024-02-22 11:58:29,2024-02-02,2024-02-08,Standard,AP-10915,Arthur Prichep,Consumer,United States,Palm Coast,Florida,32137,South,OFF-AR-10001547,Office Supplies,Art,Newell 311,423.64,5,0.11,-6.98
AP-02838,2024-02-22 11:58:29,2024-02-02,2024-02-08,Standard,AP-10915,Arthur Prichep,Consumer,United States,Palm Coast,Florida,32137,South,OFF-ST-10002957,Office Supplies,Storage,Sterilite Show Offs Storage Containers,351.74,10,0.2,-1.55
AP-02838,2024-02-22 11:58:29,2024-02-02,2024-02-08,Standard,AP-10915,Arthur Prichep,Consumer,United States,Palm Coast,Florida,32137,South,OFF-ST-10003058,Office Supplies,Storage,Eldon Mobile Mega Data Cart  Mega Stackable  Add-On Trays,221.65,8,0.02,-0.68
AP-02838,2024-02-22 11:58:29,2024-02-02,2024-02-08,Standard,AP-10915,Arthur Prichep,Consumer,United States,Palm Coast,Florida,32137,South,TEC-AC-10003038,Technology,Accessories,Kingston Digital DataTraveler 16GB USB 2.0,244.01,4,0.15,1.79
AP-02838,2024-02-22 11:58:29,2024-02-02,2024-02-08,Standard,AP-10915,Arthur Prichep,Consumer,United States,Palm Coast,Florida,32137,South,FUR-CH-10004063,Furniture,Chairs,Global Deluxe High-Back Manager's Chair,394.1,3,0.19,-16.09
JE-60816,2024-02-22 11:58:29,2023-05-05,2023-05-12,Express,JE-15745,Joel Eaton,Consumer,United States,Memphis,Tennessee,38109,South,OFF-AR-10001044,Office Supplies,Art,"BOSTON Ranger #55 Pencil Sharpener, Black",328.25,10,0.07,5.44
JE-60816,2024-02-22 11:58:29,2023-05-05,2023-05-12,Express,JE-15745,Joel Eaton,Consumer,United States,Memphis,Tennessee,38109,South,OFF-LA-10003930,Office Supplies,Labels,"Dot Matrix Printer Tape Reel Labels, White, 5000/Box",418.74,10,0.11,-16.11
